CountryName,ISO,Region,Year2015,Region2015
Bahrain,BHR,Middle East & North Africa,6.2,23.34026831
Djibouti,DJI,Middle East & North Africa,65.3,23.34026831
"Egypt, Arab Rep.",EGY,Middle East & North Africa,24,23.34026831
"Iran, Islamic Rep.",IRN,Middle East & North Africa,15.5,23.34026831
Iraq,IRQ,Middle East & North Africa,32,23.34026831
Israel,ISR,Middle East & North Africa,4,23.34026831
Jordan,JOR,Middle East & North Africa,17.9,23.34026831
Kuwait,KWT,Middle East & North Africa,8.6,23.34026831
Lebanon,LBN,Middle East & North Africa,8.3,23.34026831
Libya,LBY,Middle East & North Africa,13.4,23.34026831
Malta,MLT,Middle East & North Africa,6.4,23.34026831
Morocco,MAR,Middle East & North Africa,27.6,23.34026831
Oman,OMN,Middle East & North Africa,11.6,23.34026831
Qatar,QAT,Middle East & North Africa,8,23.34026831
Saudi Arabia,SAU,Middle East & North Africa,14.5,23.34026831
Syrian Arab Republic,SYR,Middle East & North Africa,12.9,23.34026831
Tunisia,TUN,Middle East & North Africa,14,23.34026831
United Arab Emirates,ARE,Middle East & North Africa,6.8,23.34026831
West Bank and Gaza,PSE,Middle East & North Africa,21.1,23.34026831
"Yemen, Rep.",YEM,Middle East & North Africa,41.9,23.34026831
Canada,CAN,North America,4.9,6.359728689
United States,USA,North America,6.5,6.359728689
Afghanistan,AFG,South Asia,91.1,52.5
Bangladesh,BGD,South Asia,37.6,52.5
Bhutan,BTN,South Asia,32.9,52.5
India,IND,South Asia,47.7,52.5
Maldives,MDV,South Asia,8.6,52.5
Nepal,NPL,South Asia,35.8,52.5
Pakistan,PAK,South Asia,81.1,52.5
Sri Lanka,LKA,South Asia,9.8,52.5
Angola,AGO,Sub-Saharan Africa,156.9,83.17997409
Benin,BEN,Sub-Saharan Africa,99.5,83.17997409
Botswana,BWA,Sub-Saharan Africa,43.6,83.17997409
Burkina Faso,BFA,Sub-Saharan Africa,88.6,83.17997409
Burundi,BDI,Sub-Saharan Africa,81.7,83.17997409
Cabo Verde,CPV,Sub-Saharan Africa,24.5,83.17997409
Cameroon,CMR,Sub-Saharan Africa,87.9,83.17997409
Central African Republic,CAF,Sub-Saharan Africa,130.1,83.17997409
Chad,TCD,Sub-Saharan Africa,138.7,83.17997409
Comoros,COM,Sub-Saharan Africa,73.5,83.17997409
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,98.3,83.17997409
Cote d'Ivoire,CIV,Sub-Saharan Africa,92.6,83.17997409
Equatorial Guinea,GNQ,Sub-Saharan Africa,94.1,83.17997409
Eritrea,ERI,Sub-Saharan Africa,46.5,83.17997409
Ethiopia,ETH,Sub-Saharan Africa,59.2,83.17997409
Gabon,GAB,Sub-Saharan Africa,50.8,83.17997409
"Gambia, The",GMB,Sub-Saharan Africa,68.9,83.17997409
Ghana,GHA,Sub-Saharan Africa,61.6,83.17997409
Guinea,GIN,Sub-Saharan Africa,93.7,83.17997409
Guinea-Bissau,GNB,Sub-Saharan Africa,92.5,83.17997409
Kenya,KEN,Sub-Saharan Africa,49.4,83.17997409
Lesotho,LSO,Sub-Saharan Africa,90.2,83.17997409
Liberia,LBR,Sub-Saharan Africa,69.9,83.17997409
Madagascar,MDG,Sub-Saharan Africa,49.6,83.17997409
Malawi,MWI,Sub-Saharan Africa,64,83.17997409
Mali,MLI,Sub-Saharan Africa,114.7,83.17997409
Mauritania,MRT,Sub-Saharan Africa,84.7,83.17997409
Mauritius,MUS,Sub-Saharan Africa,13.5,83.17997409
Mozambique,MOZ,Sub-Saharan Africa,78.5,83.17997409
Namibia,NAM,Sub-Saharan Africa,45.4,83.17997409
Niger,NER,Sub-Saharan Africa,95.5,83.17997409
Nigeria,NGA,Sub-Saharan Africa,108.8,83.17997409
Rwanda,RWA,Sub-Saharan Africa,41.7,83.17997409
Sao Tome and Principe,STP,Sub-Saharan Africa,47.3,83.17997409
Senegal,SEN,Sub-Saharan Africa,47.2,83.17997409
Seychelles,SYC,Sub-Saharan Africa,13.6,83.17997409
Sierra Leone,SLE,Sub-Saharan Africa,120.4,83.17997409
Somalia,SOM,Sub-Saharan Africa,136.8,83.17997409
South Africa,ZAF,Sub-Saharan Africa,40.5,83.17997409
South Sudan,SSD,Sub-Saharan Africa,92.6,83.17997409
Sudan,SDN,Sub-Saharan Africa,70.1,83.17997409
Swaziland,SWZ,Sub-Saharan Africa,60.7,83.17997409
Tanzania,TZA,Sub-Saharan Africa,48.7,83.17997409
Togo,TGO,Sub-Saharan Africa,78.4,83.17997409
Uganda,UGA,Sub-Saharan Africa,54.6,83.17997409
Zambia,ZMB,Sub-Saharan Africa,64,83.17997409
Zimbabwe,ZWE,Sub-Saharan Africa,70.7,83.17997409
